id,date,open,high,low,close,adjusted_close,volume
0,2025-07-15,71.56,74.31,71.54,72.96,72.9600,20327486
1,2025-07-11,76.21,76.83,70.79,71.36,71.3600,49692663
2,2025-07-03,73.94,77.36,73.66,76.59,76.5900,30996671
3,2025-06-27,71.0,74.2499,70.16,73.64,73.6400,49485967
4,2025-06-20,71.63,72.485,67.52,70.05,70.0500,53495412
5,2025-06-13,73.7,75.3068,70.5307,70.83,70.8300,48772358
6,2025-06-06,69.275,73.62,69.05,73.43,73.4300,36113142
7,2025-05-30,70.75,72.4492,69.52,70.28,70.2800,37059086
8,2025-05-23,71.16,73.2042,69.41,69.85,69.8500,38067063
9,2025-05-16,72.97,74.15,71.08,72.18,72.1800,45147604
10,2025-05-09,66.96,71.32,66.91,70.26,70.2600,47028219
11,2025-05-02,65.305,67.76,63.54,67.24,67.2400,64406595
12,2025-04-25,60.24,65.42,59.455,65.34,65.3400,46153427
13,2025-04-17,63.7,63.9,59.72,61.0,61.0000,36995578
14,2025-04-11,56.74,64.17,55.85,62.59,62.5900,86616249
15,2025-04-04,64.28,67.57,57.32,58.37,58.3700,68290504
16,2025-03-28,71.55,71.71,64.95,65.15,65.1500,48474975
17,2025-03-21,68.67,70.81,67.98,70.19,70.1900,44425881
18,2025-03-14,69.02,69.97,66.7,68.95,68.9500,57806606
19,2025-03-07,71.1,71.57,66.34,70.48,70.4800,78013138
20,2025-02-28,75.245,77.5683,69.682,71.05,71.0500,74079732
21,2025-02-21,78.2,79.0,74.75,74.95,74.9500,44854496
22,2025-02-14,78.16,78.92,75.3,77.97,77.9700,59830672
23,2025-02-07,86.5,89.71,77.23,77.31,77.3100,121700707
24,2025-01-31,87.545,90.925,86.88,88.58,88.5800,36871690
25,2025-01-24,92.21,92.21,88.24,89.11,89.1100,33520366
26,2025-01-17,82.19,93.245,81.79,91.81,91.8100,48700957
27,2025-01-10,88.02,90.09,82.24,83.36,83.3600,32691226
28,2025-01-03,85.69,87.7,84.66,87.6,87.6000,22752444
29,2024-12-27,86.47,88.73,85.97,86.86,86.8600,18836638
30,2024-12-20,90.79,92.0,84.5,87.13,87.1300,59956889
31,2024-12-13,92.25,93.66,87.84,91.02,91.0200,37138049
32,2024-12-06,86.55,90.27,84.615,89.88,89.8800,46980370
33,2024-11-29,87.99,88.74,85.82,86.77,86.7700,28556321
34,2024-11-22,86.055,86.84,82.5,86.77,86.7700,42707693
35,2024-11-15,84.07,87.92,83.38,85.83,85.8300,51304281
36,2024-11-08,77.26,83.07,77.0,83.01,83.0100,44515969
37,2024-11-01,82.03,83.7,76.46,77.25,77.2500,95753254
38,2024-10-25,80.315,82.8,80.04,81.7,81.7000,37253448
39,2024-10-18,80.34,81.06,78.65,80.94,80.9400,36090156
40,2024-10-11,79.29,82.0,78.53,80.51,80.5100,43821917
41,2024-10-04,77.87,79.53,76.04,79.36,79.3600,44740729
42,2024-09-27,77.53,80.6299,77.34,77.88,77.8800,66278980
43,2024-09-20,70.46,78.245,70.0699,76.76,76.7600,75117397
44,2024-09-13,70.392,70.65,67.15,70.1,70.1000,52480969
45,2024-09-06,71.755,74.4,68.55,68.89,68.8900,40700476
46,2024-08-30,72.07,73.93,70.025,72.43,72.4300,50554103
47,2024-08-23,68.22,73.25,68.17,71.7,71.7000,63612876
48,2024-08-16,64.95,68.55,63.285,67.96,67.9600,47597903
49,2024-08-09,60.7,65.5,58.65,64.72,64.7200,63635161
50,2024-08-02,58.5,67.3,58.07,61.98,61.9800,124608974
51,2024-07-26,59.9,60.95,56.97,58.29,58.2900,50702421
52,2024-07-19,60.25,62.02,58.75,59.33,59.3300,45418902
53,2024-07-12,59.72,60.93,58.2,60.27,60.2700,47742998
54,2024-07-05,58.36,60.16,57.03,59.76,59.7600,44621195
55,2024-06-28,60.0,60.56,57.21,58.03,58.0300,72174200
56,2024-06-21,60.37,60.76,58.79,60.61,60.6100,58875580
57,2024-06-14,66.97,67.49,60.31,60.635,60.6350,63576417
58,2024-06-07,63.04,68.2985,62.58,67.3,67.3000,62195732
59,2024-05-31,62.3,63.56,60.85,62.99,62.9900,45446122
